"","Date Tabulated","Allocated Category","Native Category","Description","Coles","Coles Sale","Woolworths","Woolworths Sale","Unit","Amount","PriceMass","Per1000gPrice_Coles","Per1000gPrice_WW","Per1000gPrice_ColesSale","Per1000gPrice_WWSale"
"47",2017-09-07,"Sugary Snack","PANTRY","Cadbury Dairy Milk Chocolate Large Block (350g)",5,5,5,4.5,"g",350,2.85714285714286,14.2857142857143,14.2857142857143,14.2857142857143,12.8571428571429
"48",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Hazelnut (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"49",2017-09-07,"Sugary Snack","PANTRY","Cadbury Dairy Milk Top Deck Chocolate Block (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"50",2017-09-07,"Sugary Snack","PANTRY","Cadbury Favourites Chocolates (540g)",19,9.5,19,19,"g",540,1.85185185185185,35.1851851851852,35.1851851851852,17.5925925925926,35.1851851851852
"51",2017-09-07,"Sugary Snack","PANTRY","Cadbury Twirl Chocolate Bar (39g)",2.2,1,2,1.5,"g",39,25.6410256410256,56.4102564102564,51.2820512820513,25.6410256410256,38.4615384615385
"52",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Crunchie (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"53",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Black Forest (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"54",2017-09-07,"Sugary Snack","PANTRY","Cadbury Dairy Milk Chocolate Roll Pack (55g)",2.2,1,2,1.5,"g",55,18.1818181818182,40,36.3636363636364,18.1818181818182,27.2727272727273
"55",2017-09-07,"Sugary Snack","PANTRY","Cadbury Turkish Delight Chocolate Bar (55g)",2.2,1,2,1.5,"g",55,18.1818181818182,40,36.3636363636364,18.1818181818182,27.2727272727273
"56",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Caramello (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"57",2017-09-07,"Sugary Snack","PANTRY","Cadbury Oreo Vanilla Family Chocolate Block (180g)",5.49,2.5,5,3.5,"g",180,5.55555555555556,30.5,27.7777777777778,13.8888888888889,19.4444444444444
"58",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Fruit & Nut (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"59",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Snack (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"60",2017-09-07,"Sugary Snack","PANTRY","Cadbury Old Gold 70% Cocoa Chocolate Block (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"61",2017-09-07,"Sugary Snack","PANTRY","Cadbury Picnic Chocolate Bar (46g)",2.2,1,2,1.5,"g",46,21.7391304347826,47.8260869565217,43.4782608695652,21.7391304347826,32.6086956521739
"62",2017-09-07,"Sugary Snack","PANTRY","Cadbury Old Gold Original Chocolate Block (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"63",2017-09-07,"Sugary Snack","PANTRY","Cadbury Family Block Chocolate Peppermint (200g)",5.49,2.5,5,3.5,"g",200,5,27.45,25,12.5,17.5
"64",2017-09-07,"Sugary Snack","PANTRY","Cadbury Time Out Chocolate Bar (40g)",2.2,1,2,1.5,"g",40,25,55,50,25,37.5
"65",2017-09-07,"Sugary Snack","PANTRY","Cadbury Caramello Chocolate Bar (55g)",2.2,1,2,1.5,"g",55,18.1818181818182,40,36.3636363636364,18.1818181818182,27.2727272727273
